,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats
0,Jeep Compass 2.0 Longitude Option BSIV,1002999,86226.0,Diesel,Manual,1,2017,1956,5
1,Renault Duster RXZ Turbo CVT,1283000,13248.0,Petrol,Automatic,1,2021,1330,5
2,Toyota Camry 2.5 G,1639999,60343.0,Petrol,Automatic,1,2016,2494,5
3,Honda Jazz VX CVT,777000,26696.0,Petrol,Automatic,1,2018,1199,5
4,Volkswagen Polo 1.2 MPI Highline,515000,69414.0,Petrol,Manual,1,2016,1199,5
5,Volkswagen Vento 1.2 TSI Highline AT,766000,49719.0,Petrol,Automatic,1,2017,1197,5
6,Volkswagen Vento 1.2 TSI Highline Plus AT,758000,43688.0,Petrol,Automatic,1,2017,1197,5
7,Honda WR-V VX Diesel,1160000,14470.0,Diesel,Manual,1,2021,1498,5
8,Honda City i VTEC CVT SV,699000,21429.0,Petrol,Automatic,1,2015,1497,5
9,Renault Duster Petrol RXS CVT,753000,31750.0,Petrol,Automatic,1,2017,1498,5
10,Maruti Baleno 1.2 Alpha,643000,38203.0,Petrol,Manual,1,2017,1197,5
11,Honda City i VTEC CVT SV,543000,110284.0,Petrol,Automatic,1,2014,1497,5
12,Mahindra XUV300 W6,861999,10381.0,Petrol,Manual,1,2020,1197,5
13,Jeep Compass 1.4 Limited Plus BSIV,1678000,32378.0,Petrol,Automatic,1,2019,1368,5
14,Honda City V MT,1002999,38906.0,Petrol,Manual,1,2020,1498,5
15,Hyundai Grand i10 AT Asta,563000,59313.0,Petrol,Automatic,2,2016,1197,5
16,Hyundai i20 1.4 Asta,667000,85672.0,Diesel,Manual,1,2017,1396,5
17,Maruti Ciaz 1.4 Delta,673000,34971.0,Petrol,Manual,2,2017,1373,5
18,Nissan Micra XL Optional,321000,35894.0,Petrol,Manual,2,2015,1198,5
19,Maruti Ciaz Alpha Automatic BSIV,850000,56000.0,Petrol,Automatic,1,2019,1462,5
20,Maruti Swift Dzire VXI,434000,56568.0,Petrol,Manual,1,2014,1197,5
21,Renault KWID RXT,311000,48872.0,Petrol,Manual,1,2017,799,5
22,Renault KWID RXL BSIV,370000,17346.0,Petrol,Manual,1,2019,799,5
23,Jeep Compass 2.0 Limited Plus BSIV,1588000,15414.0,Diesel,Manual,1,2019,1956,5
24,Hyundai Grand i10 1.2 Kappa Magna BSIV,541000,21239.0,Petrol,Manual,1,2018,1197,5
25,Maruti Alto K10 LXI,223000,62361.0,Petrol,Manual,1,2014,998,5
26,Hyundai Verna 1.6 VTVT S Option,588000,79329.0,Petrol,Manual,2,2015,1591,5
27,Hyundai Tucson GLS AT,2278000,11945.0,Petrol,Automatic,1,2021,1999,5
28,Maruti Swift Dzire VXI 1.2,612000,51324.0,Petrol,Manual,1,2018,1197,5
29,Nissan Magnite XV Premium,744000,5717.0,Petrol,Manual,1,2021,999,5
30,Honda City i VTEC CVT VX,839000,46417.0,Petrol,Automatic,1,2016,1497,5
31,Honda Amaze S i-Vtech,420000,100161.0,Petrol,Manual,1,2015,1198,5
32,Hyundai Grand i10 Sportz,491000,35424.0,Petrol,Manual,1,2016,1197,5
33,Hyundai EON Era Plus,293000,51085.0,Petrol,Manual,1,2017,814,5
34,Maruti Alto 800 LXI,298000,30983.0,Petrol,Manual,1,2016,796,5
35,Renault KWID RXL,260000,32681.0,Petrol,Manual,1,2016,799,5
36,Hyundai EON Magna Plus,238000,57581.0,Petrol,Manual,2,2014,814,5
37,Honda Jazz 1.2 V AT i VTEC,605000,39821.0,Petrol,Automatic,1,2016,1199,5
38,Maruti Alto 800 LXI,323000,21186.0,Petrol,Manual,1,2018,796,5
39,Renault KWID RXL,326000,34972.0,Petrol,Manual,1,2018,799,5
40,Honda Amaze S i-Vtech,421000,46623.0,Petrol,Manual,2,2015,1198,5
41,Kia Seltos GTX Plus,1553000,18557.0,Petrol,Manual,1,2019,1353,5
42,Jeep Compass 2.0 Limited,1243000,58463.0,Diesel,Manual,1,2017,1956,5
43,MG Hector Plus Sharp DCT,1850000,5000.0,Petrol,Automatic,1,2020,1451,6
44,Tata Harrier XZ BSIV,1590000,66000.0,Diesel,Manual,1,2019,1956,5
45,Renault Duster Petrol RXS CVT,890000,14000.0,Petrol,Automatic,1,2019,1498,5
46,BMW 5 Series 520d Luxury Line,4300000,61000.0,Diesel,Automatic,1,2019,1995,5
47,Hyundai i20 1.4 Magna Executive,600000,65392.0,Diesel,Manual,1,2017,1396,5
48,Mercedes-Benz CLA 200 CGI Sport,2700000,37000.0,Petrol,Automatic,1,2018,1991,5
49,Maruti XL6 Zeta,1090000,9000.0,Petrol,Manual,1,2020,1462,6
50,Hyundai Grand i10 1.2 Kappa Sportz Option AT,590000,32000.0,Petrol,Automatic,1,2017,1197,5
51,Mahindra XUV500 W8 2WD,650000,68000.0,Diesel,Manual,1,2012,2179,7
52,Hyundai i20 Magna 1.2,675000,13000.0,Petrol,Manual,1,2017,1197,5
53,Datsun RediGO AMT 1.0 T Option,370000,30000.0,Petrol,Automatic,1,2020,999,5
54,Honda Brio VX AT,525000,34300.0,Petrol,Automatic,1,2015,1198,5
55,Honda City i VTEC CVT SV,725000,45000.0,Petrol,Automatic,1,2015,1497,5
